Gene1	Gene2	correlation
LTA4H	GPR15	0.121913555512023
ADCY2	GPR15	-0.114405031451314
CD300LF	GPR15	0.0917682759962479
FFAR4	GPR15	0.210121044616136
FABP3	GPR15	0.177398874833163
TREM2	GPR15	0.199071386090425
FIG4	GPR15	0.207342565247597
BHLHE41	GPR15	0.341409547061492
CYP1B1	GPR15	0.334982789187249
RP11.459I19.1	GPR15	0.184514853242191
EVL	GPR15	0.481782722114586
MFSD7	GPR15	0.129391158231721
CD1A	GPR15	0.489057312887264
TMEM130	GPR15	0.527181117358109
OR6K3	GPR15	0.394955967822261
SLCO1B3	GPR15	0.244501158909291
TMEM257	GPR15	-0.194598498632002
CEACAM5	GPR15	0.223665360363905
CYP1A2	GPR15	0.490942038632572
FKBP15	GPR15	0.21472364197468
ELF5	GPR15	-0.0675580760327147
PRSS41	GPR15	0.0482497202631888
ADAMTSL4	GPR15	0.23390330557159
LUZP2	GPR15	-0.127738248857296
RP11.20G13.3	GPR15	0.456376527933636
LINC00881	GPR15	0.234402265120156
PYCARD	GPR15	0.0214849547993607
UNC13A	GPR15	0.320624037604944
AJAP1	GPR15	-0.292918557016088
DPP7	GPR15	0.223623633824487
JPH4	GPR15	0.203933864160271
SPNS1	GPR15	0.082790744010433
ZMYND15	GPR15	0.0547444770399447
SIDT2	GPR15	0.358447206353877
DDHD1	GPR15	0.445946552053604
FABP5	GPR15	-0.0112302011340329
CDKN2A	GPR15	0.491313488140018
RP5.839B4.8	GPR15	0.164177610016601
IL37	GPR15	0.303403427694423
PTPN6	GPR15	0.189382976331843
PARP15	GPR15	0.401491932919177
PTPRO	GPR15	0.250201194127102
DCSTAMP	GPR15	0.414773298998571
LINC00677	GPR15	0.149194774775527
GCHFR	GPR15	0.0162764702007083
PRAM1	GPR15	0.215578505226929
SCPEP1	GPR15	0.163202705008773
COMP	GPR15	0.271424912477916
LPXN	GPR15	0.351165467995105
MCOLN1	GPR15	0.170653212746647
CD37	GPR15	0.360238429059532
FIRRE	GPR15	0.40208437329492
SPN	GPR15	0.263296860618582
PVALB	GPR15	0.316283207214182
GNGT2	GPR15	0.321958209136235
SSX2IP	GPR15	-0.13840213517329
HLA.DMA	GPR15	0.339800595348046
ATP6AP1	GPR15	-0.136233341090905
TUSC3	GPR15	-0.0897357569918885
SYTL5	GPR15	-0.320689847215301
ANGPT4	GPR15	0.28607243610543
SOWAHD	GPR15	0.17708032166926
ZFYVE26	GPR15	0.122296242400341
CTD.2003C8.2	GPR15	0.128888703868918
GRN	GPR15	-0.02384621807169
RP11.356N1.2	GPR15	0.202165048217167
BCHE	GPR15	-0.0136459437788349
NAGPA	GPR15	-0.0700279511033587
OLR1	GPR15	0.432590308581089
EPHA7	GPR15	-0.0500127863287859
IRF5	GPR15	0.187233415771012
HTRA4	GPR15	0.23802305932144
MICAL1	GPR15	0.318709297127665
SLC11A1	GPR15	0.176107027268217
HLA.DMB	GPR15	0.192861262233878
TRIM46	GPR15	0.191650008184845
GPR160	GPR15	-0.0377922877322945
ANO4	GPR15	-0.167319020392099
DNASE1L3	GPR15	0.283067195548924
CADM2	GPR15	-0.0651797435290335
SLC6A15	GPR15	-0.139794086631892
VGLL1	GPR15	-0.233351793491267
MSR1	GPR15	0.156730917146262
CRLF1	GPR15	0.21200152169659
DOCK8	GPR15	0.205912073875735
RP5.899E9.1	GPR15	0.28136343567554
NOXA1	GPR15	0.0984534621842963
MAPK4	GPR15	-0.235836109793273
DPCR1	GPR15	-0.166169185689042
CTD.2319I12.2	GPR15	0.398827264042523
HEXB	GPR15	0.00284967386567274
MPND	GPR15	0.0236745767821736
GM2A	GPR15	0.063578908496982
MS4A7	GPR15	0.121766129880025
CYTL1	GPR15	0.34401009261133
MCEMP1	GPR15	0.041459920484389
OR13A1	GPR15	0.276405006540794
ZNF589	GPR15	0.203523365054334
EDC3	GPR15	-0.0039541101302232
RPP25	GPR15	-0.196042788888628
NOS2	GPR15	-0.0933550054949404
PLCB2	GPR15	0.342102615207888
TBXA2R	GPR15	-0.123063251901849
LINC01526	GPR15	0.146086707635567
ABCC3	GPR15	0.212679990909653
C1orf162	GPR15	0.0158171345942103
LINC01827	GPR15	0.215445211373204
CRHBP	GPR15	-0.105739902668441
KMO	GPR15	0.181755270745496
RP11.291B21.2	GPR15	0.452303949225869
TMSB15A	GPR15	-0.144790183284751
CAPG	GPR15	0.0600173422782957
EGR2	GPR15	0.344649762844646
TMEM251	GPR15	-0.0735707748476391
GPRIN3	GPR15	0.430858495617108
FLVCR2	GPR15	-0.098941658454938
LGALS3	GPR15	0.0795953247117128
KIAA1161	GPR15	-0.203437276691514
KCNA2	GPR15	0.330510202728047
SDCCAG8	GPR15	-0.0485965257494595
GRM8	GPR15	-0.159136305176725
DDB2	GPR15	0.336722593959554
FCER1A	GPR15	0.420139163903222
SNAP25	GPR15	0.402479808218754
LINC00632	GPR15	0.0123146211724174
CYP2A6	GPR15	-0.183503995939496
SIGLEC11	GPR15	0.109914247538876
VSIG4	GPR15	-0.104830821498495
HECTD3	GPR15	-0.0686000823035859
ALDH3A1	GPR15	0.37203669837231
DUSP28	GPR15	0.0292215510081407
CD207	GPR15	0.48337706577959
PRSS21	GPR15	0.217019682004033
AP1G2	GPR15	0.350185963886715
ANGPTL5	GPR15	-0.0717349320565677
ARHGEF10L	GPR15	0.381342702999743
HSD3B7	GPR15	0.119178591575175
RP4.809F18.1	GPR15	0.257910980296096
GPR15	LHX9	0.245413360934802
LHX9	LHX9	1
AHRR	LHX9	0.319507621207933
LINC01108	LHX9	0.594590588964694
ITGAE	LHX9	0.16270102554858
GPR55	LHX9	0.313229405391366
PKD1L1	LHX9	0.130051420460739
GSG2	LHX9	0.312353154046019
FBP1	LHX9	0.406083602160655
CYP27A1	LHX9	0.443885629351466
MYO1A	LHX9	0.322183913302498
EYA4	LHX9	-0.281910026801518
KRT79	LHX9	0.292813580611569
CD101	LHX9	0.374689921886873
SLITRK2	LHX9	-0.308476007422697
PCDH10	LHX9	-0.233394230449191
ACOT4	LHX9	0.45743793835822
STAC	LHX9	0.272611631536048
CD52	LHX9	0.331104974043571
VWC2	LHX9	0.0713902515821671
CYP1A1	LHX9	0.13310037822075
SLC6A12	LHX9	0.368491023477337
KCND2	LHX9	0.0866087738195047
ACP5	LHX9	0.434193526401147
DACH2	LHX9	-0.191773860039893
CCDC88A	LHX9	0.264635252321537
PNPLA6	LHX9	0.146175520664461
SYT13	LHX9	-0.229539480499579
PCDH11X	LHX9	-0.238496813782153
ALOX5	LHX9	0.227185406809898
PCAT14	LHX9	-0.244266193680451
GGA2	LHX9	0.159126111109935
PARVG	LHX9	0.169411373898404
M1AP	LHX9	0.312973181404137
ADTRP	LHX9	0.408564275187672
PHLDA3	LHX9	0.240163233890039
CD8B	LHX9	0.157586597685863
MAN2B1	LHX9	0.333758522650127
PPARG	LHX9	0.41245268009101
PNPLA3	LHX9	0.406185344428491
JAML	LHX9	0.256077361402181
PKP1	LHX9	-0.331297053777045
CSTB	LHX9	0.398978369280387
ATP6V0D2	LHX9	0.496351806627795
RP11.621L6.3	LHX9	0.308427547049854
TCEAL2	LHX9	-0.247481379250457
GPD1	LHX9	0.37174211714448
GNAZ	LHX9	-0.28113338777338
CATSPER1	LHX9	0.307267000702289
KCNA10	LHX9	0.259654828671699
PLA2G4E	LHX9	0.539722312749474
AIFM3	LHX9	0.207744440269603
WDFY4	LHX9	0.335066105936973
CEACAM21	LHX9	0.290331123114669
FAM213A	LHX9	0.346498374778489
DNASE2B	LHX9	0.427762906480375
NHLH2	LHX9	0.477447822930883
LINC01637	LHX9	0.327096300351759
DPP6	LHX9	-0.282094374481567
GUSB	LHX9	0.277574324570949
GAPLINC	LHX9	0.414006812577033
LRRN2	LHX9	0.103600673521423
LTA4H	LHX9	0.425724677489329
ADCY2	LHX9	-0.222235167974533
CD300LF	LHX9	0.331029666333767
FFAR4	LHX9	0.338341365102317
FABP3	LHX9	0.42350176989776
TREM2	LHX9	0.402122767718065
FIG4	LHX9	0.242003226279461
BHLHE41	LHX9	0.310111323059157
CYP1B1	LHX9	0.194671182203833
RP11.459I19.1	LHX9	0.363083827826502
EVL	LHX9	0.0673462441535061
MFSD7	LHX9	0.19062417404573
CD1A	LHX9	0.293409873436427
TMEM130	LHX9	0.0833686202041451
OR6K3	LHX9	0.361699653092229
SLCO1B3	LHX9	0.344914599749964
TMEM257	LHX9	-0.263287042186989
CEACAM5	LHX9	0.352613351951035
CYP1A2	LHX9	0.131393010177881
FKBP15	LHX9	0.200865373815502
ELF5	LHX9	0.449063335224202
PRSS41	LHX9	0.284478949502887
ADAMTSL4	LHX9	0.135062488359617
LUZP2	LHX9	-0.22563683787808
RP11.20G13.3	LHX9	0.204713979481397
LINC00881	LHX9	0.233801522431148
PYCARD	LHX9	0.262831994066092
UNC13A	LHX9	0.118761495857536
AJAP1	LHX9	-0.267200098832691
DPP7	LHX9	0.135742400666142
JPH4	LHX9	0.217139330665964
SPNS1	LHX9	0.276736411680261
ZMYND15	LHX9	0.290997009430759
SIDT2	LHX9	0.0995988626355777
DDHD1	LHX9	0.0407750545282826
FABP5	LHX9	0.475562065531652
CDKN2A	LHX9	0.0678593405520189
RP5.839B4.8	LHX9	0.296235616028158
IL37	LHX9	0.327818319833482
PTPN6	LHX9	0.270475175159956
PARP15	LHX9	0.253827091825447
PTPRO	LHX9	0.322500772484033
DCSTAMP	LHX9	0.302287740901994
LINC00677	LHX9	0.159516525763017
GCHFR	LHX9	0.412130103674244
PRAM1	LHX9	0.166880161804345
SCPEP1	LHX9	0.375425017102945
COMP	LHX9	0.194274593173262
LPXN	LHX9	0.269936547976908
MCOLN1	LHX9	0.199024103552455
CD37	LHX9	0.18079771567597
FIRRE	LHX9	0.144678620967822
SPN	LHX9	0.269399655726329
PVALB	LHX9	0.333465316532979
GNGT2	LHX9	0.2704837205341
SSX2IP	LHX9	-0.161579218174208
HLA.DMA	LHX9	0.208690058906335
ATP6AP1	LHX9	0.314461879472681
TUSC3	LHX9	-0.347106899320209
SYTL5	LHX9	-0.0351750557080577
ANGPT4	LHX9	0.302754118619398
SOWAHD	LHX9	0.325444582794534
ZFYVE26	LHX9	0.212343650327575
CTD.2003C8.2	LHX9	0.404595493439682
GRN	LHX9	0.398682668853146
RP11.356N1.2	LHX9	0.275841429238137
BCHE	LHX9	-0.276260157948688
NAGPA	LHX9	0.244309805659923
OLR1	LHX9	0.105622340193346
EPHA7	LHX9	-0.23324321411334
IRF5	LHX9	0.239939639998707
HTRA4	LHX9	0.33750481867906
MICAL1	LHX9	0.0182075213550075
SLC11A1	LHX9	0.131324269822018
HLA.DMB	LHX9	0.321058808994192
TRIM46	LHX9	0.0779097737347305
GPR160	LHX9	0.388128666814262
ANO4	LHX9	-0.234634398225912
DNASE1L3	LHX9	0.297840148195531
CADM2	LHX9	-0.256546863285167
SLC6A15	LHX9	-0.166529686614776
VGLL1	LHX9	-0.123121649386392
MSR1	LHX9	0.356843576232333
CRLF1	LHX9	0.298119302928366
DOCK8	LHX9	0.269019696231773
RP5.899E9.1	LHX9	0.332611889526816
NOXA1	LHX9	0.272721580091491
MAPK4	LHX9	-0.0699641187506236
DPCR1	LHX9	0.494104657708536
CTD.2319I12.2	LHX9	0.342699255625617
HEXB	LHX9	0.401880149983644
MPND	LHX9	0.259447294716167
GM2A	LHX9	0.365369994025934
MS4A7	LHX9	0.334809663052258
CYTL1	LHX9	0.202027374296605
MCEMP1	LHX9	0.266272655354503
OR13A1	LHX9	0.0925673036985357
ZNF589	LHX9	0.196903556884223
EDC3	LHX9	0.175181985260629
RPP25	LHX9	0.255710949603759
NOS2	LHX9	-0.243700188129614
PLCB2	LHX9	0.0487734516758841
TBXA2R	LHX9	-0.327429012763776
LINC01526	LHX9	0.234798065195331
ABCC3	LHX9	0.127051633771764
C1orf162	LHX9	0.307233026412774
LINC01827	LHX9	0.288785935567033
CRHBP	LHX9	-0.121531194247894
KMO	LHX9	0.309956930529837
RP11.291B21.2	LHX9	0.000462696876254346
TMSB15A	LHX9	-0.310921727665034
CAPG	LHX9	0.331479664446024
EGR2	LHX9	0.218527794207444
TMEM251	LHX9	0.293133468780451
GPRIN3	LHX9	0.0848125711269545
FLVCR2	LHX9	0.284304837523088
LGALS3	LHX9	0.325358396947555
KIAA1161	LHX9	-0.0632189043104413
KCNA2	LHX9	0.270756911200403
SDCCAG8	LHX9	0.168795878345284
GRM8	LHX9	-0.247700743694309
DDB2	LHX9	0.0694605200053256
FCER1A	LHX9	0.199375413086436
SNAP25	LHX9	0.0380469750227282
LINC00632	LHX9	-0.276290529888873
CYP2A6	LHX9	-0.120743318116013
SIGLEC11	LHX9	0.323382220962137
VSIG4	LHX9	0.388487221218698
HECTD3	LHX9	0.205497314608026
ALDH3A1	LHX9	0.168577349594196
DUSP28	LHX9	0.13544205360275
CD207	LHX9	0.174696530058558
PRSS21	LHX9	0.286142635831865
AP1G2	LHX9	0.0346144724959063
ANGPTL5	LHX9	-0.194901965707653
ARHGEF10L	LHX9	0.0248654701656664
HSD3B7	LHX9	0.213832354507368
RP4.809F18.1	LHX9	0.118729573614976
GPR15	AHRR	0.696018242718479
LHX9	AHRR	0.319507621207933
AHRR	AHRR	1
LINC01108	AHRR	0.425369166049051
ITGAE	AHRR	0.337040894766517
GPR55	AHRR	0.374186556185457
PKD1L1	AHRR	0.528948110442783
GSG2	AHRR	0.507078297869332
FBP1	AHRR	0.327151497116483
CYP27A1	AHRR	0.383102532749936
MYO1A	AHRR	0.359778800022319
EYA4	AHRR	-0.206205869389575
KRT79	AHRR	0.634597375028859
CD101	AHRR	0.440342553021147
SLITRK2	AHRR	-0.363898718225991
PCDH10	AHRR	-0.296906244062943
ACOT4	AHRR	0.172108007024141
STAC	AHRR	0.375703144291042
CD52	AHRR	0.287441009076251
VWC2	AHRR	0.464126681074529
CYP1A1	AHRR	0.596078594727338
SLC6A12	AHRR	0.372523842292848
KCND2	AHRR	0.309490957997089
ACP5	AHRR	0.276090748512048
DACH2	AHRR	-0.201227594216187
CCDC88A	AHRR	0.368185206451814
PNPLA6	AHRR	0.402976324968082
SYT13	AHRR	-0.153689705887006
PCDH11X	AHRR	-0.179231050662418
ALOX5	AHRR	0.246972388872507
PCAT14	AHRR	-0.16489245272296
GGA2	AHRR	0.341166081799463
PARVG	AHRR	0.361307544616201
M1AP	AHRR	0.349281724938276
ADTRP	AHRR	0.411864002334676
PHLDA3	AHRR	0.280864283041459
CD8B	AHRR	0.357278776999117
MAN2B1	AHRR	0.282678882071045
PPARG	AHRR	0.310475633018537
PNPLA3	AHRR	0.330726229803473
JAML	AHRR	0.358894788819314
PKP1	AHRR	-0.213413142851724
CSTB	AHRR	0.238996568949839
ATP6V0D2	AHRR	0.472830951207518
RP11.621L6.3	AHRR	0.245321341601232
TCEAL2	AHRR	-0.276430025147689
GPD1	AHRR	0.300255122325201
GNAZ	AHRR	-0.21104249141234
CATSPER1	AHRR	0.190580322945693
KCNA10	AHRR	0.505954172130325
PLA2G4E	AHRR	0.254423087838509
AIFM3	AHRR	0.25319195371241
WDFY4	AHRR	0.268705477777227
CEACAM21	AHRR	0.150297241933945
FAM213A	AHRR	0.218012113857197
DNASE2B	AHRR	0.364613322043412
NHLH2	AHRR	0.105226137584899
LINC01637	AHRR	0.181165554161509
DPP6	AHRR	-0.238266967602802
GUSB	AHRR	0.189082719549383
GAPLINC	AHRR	0.324990521595608
LRRN2	AHRR	0.465368530208856
LTA4H	AHRR	0.210967453847395
ADCY2	AHRR	-0.177230537735463
CD300LF	AHRR	0.22789463960231
FFAR4	AHRR	0.324996816757937
FABP3	AHRR	0.262003083814288
TREM2	AHRR	0.292188023883464
FIG4	AHRR	0.236618304978392
BHLHE41	AHRR	0.357214128224907
CYP1B1	AHRR	0.379813976545292
RP11.459I19.1	AHRR	0.345532526351937
EVL	AHRR	0.379593692154655
MFSD7	AHRR	0.256118192598751
CD1A	AHRR	0.488968268255606
TMEM130	AHRR	0.390698270460932
OR6K3	AHRR	0.43676216836616
SLCO1B3	AHRR	0.254010259011755
TMEM257	AHRR	-0.244230434456739
CEACAM5	AHRR	0.226970023868346
CYP1A2	AHRR	0.529448658795388
FKBP15	AHRR	0.245970549163795
ELF5	AHRR	0.0656134532581971
PRSS41	AHRR	0.208264762923668
ADAMTSL4	AHRR	0.256109954133276
LUZP2	AHRR	-0.155365880628913
RP11.20G13.3	AHRR	0.487742185541123
LINC00881	AHRR	0.331706837565503
PYCARD	AHRR	0.160777036445542
UNC13A	AHRR	0.346361069069629
AJAP1	AHRR	-0.294163937308199
DPP7	AHRR	0.244055438878579
JPH4	AHRR	0.278034948713719
SPNS1	AHRR	0.272770093560071
ZMYND15	AHRR	0.186376078403964
SIDT2	AHRR	0.330504322927296
DDHD1	AHRR	0.364547534987539
FABP5	AHRR	0.127161165407628
CDKN2A	AHRR	0.306321639976037
RP5.839B4.8	AHRR	0.264158890183647
IL37	AHRR	0.399017723461325
PTPN6	AHRR	0.27939417616282
PARP15	AHRR	0.328668029386879
PTPRO	AHRR	0.294551485339994
DCSTAMP	AHRR	0.477514846094402
LINC00677	AHRR	0.250962654480057
GCHFR	AHRR	0.172217729860744
PRAM1	AHRR	0.314282274776506
SCPEP1	AHRR	0.220140414140295
COMP	AHRR	0.322875714478645
LPXN	AHRR	0.303239515902156
MCOLN1	AHRR	0.270928630564813
CD37	AHRR	0.29216386253892
FIRRE	AHRR	0.389243206362673
SPN	AHRR	0.274191903496788
PVALB	AHRR	0.395182331538052
GNGT2	AHRR	0.349841454824937
SSX2IP	AHRR	-0.174200432392914
HLA.DMA	AHRR	0.296156639151506
ATP6AP1	AHRR	0.0453600885359105
TUSC3	AHRR	-0.154413631424634
SYTL5	AHRR	-0.313812900987898
ANGPT4	AHRR	0.329368219616376
SOWAHD	AHRR	0.250300381981484
ZFYVE26	AHRR	0.204179401725303
CTD.2003C8.2	AHRR	0.288300146381393
GRN	AHRR	0.123994319058166
RP11.356N1.2	AHRR	0.341123495186918
BCHE	AHRR	-0.106297822034126
NAGPA	AHRR	0.0937486829683242
OLR1	AHRR	0.329061780028323
EPHA7	AHRR	-0.120331975173774
IRF5	AHRR	0.314102378063034
HTRA4	AHRR	0.281548280052207
MICAL1	AHRR	0.325638263925194
SLC11A1	AHRR	0.238939784900793
HLA.DMB	AHRR	0.208404789810173
TRIM46	AHRR	0.115316809835191
GPR160	AHRR	0.0993382213976704
ANO4	AHRR	-0.206008451021251
DNASE1L3	AHRR	0.281326742162295
CADM2	AHRR	-0.16966597218423
SLC6A15	AHRR	-0.226905479135768
VGLL1	AHRR	-0.208932095999019
MSR1	AHRR	0.213270982134385
CRLF1	AHRR	0.377552305197409
DOCK8	AHRR	0.170658247018816
RP5.899E9.1	AHRR	0.310954499670955
NOXA1	AHRR	0.24475358909377
MAPK4	AHRR	-0.232343523991952
DPCR1	AHRR	0.0148410051462025
CTD.2319I12.2	AHRR	0.438633606359996
HEXB	AHRR	0.139052631677179
MPND	AHRR	0.179894909759063
GM2A	AHRR	0.140919834147123
MS4A7	AHRR	0.218997851783239
CYTL1	AHRR	0.388060254471351
MCEMP1	AHRR	0.145116972236789
OR13A1	AHRR	0.360220177415482
ZNF589	AHRR	0.267679723703411
EDC3	AHRR	0.248235797233812
RPP25	AHRR	0.0196998553140471
NOS2	AHRR	-0.223689898796989
PLCB2	AHRR	0.3376054826586
TBXA2R	AHRR	-0.13003508921767
LINC01526	AHRR	0.209997168597368
ABCC3	AHRR	0.291873294290545
C1orf162	AHRR	0.102324120990002
LINC01827	AHRR	0.251197135602164
CRHBP	AHRR	-0.196895588780831
KMO	AHRR	0.251187271875895
RP11.291B21.2	AHRR	0.273266777448587
TMSB15A	AHRR	-0.213312600143201
CAPG	AHRR	0.159883490292725
EGR2	AHRR	0.321713434734031
TMEM251	AHRR	0.0792029668200772
GPRIN3	AHRR	0.299703832035515
FLVCR2	AHRR	0.0576163637996638
LGALS3	AHRR	0.181103284958198
KIAA1161	AHRR	-0.181252881502113
KCNA2	AHRR	0.30194577229807
SDCCAG8	AHRR	0.106823511598859
GRM8	AHRR	-0.202480464306788
DDB2	AHRR	0.301623110413817
FCER1A	AHRR	0.416358710654975
SNAP25	AHRR	0.318359114411852
LINC00632	AHRR	-0.080103376032441
CYP2A6	AHRR	-0.236008523297059
SIGLEC11	AHRR	0.243306780690361
VSIG4	AHRR	0.0487960544636326
HECTD3	AHRR	0.113760391220707
ALDH3A1	AHRR	0.398128767709347
DUSP28	AHRR	0.105924848100969
CD207	AHRR	0.454984512556236
PRSS21	AHRR	0.249267005961799
AP1G2	AHRR	0.288363103748199
ANGPTL5	AHRR	-0.1345726786213
ARHGEF10L	AHRR	0.355679502110579
HSD3B7	AHRR	0.186708326589148
RP4.809F18.1	AHRR	0.261016918510315
GPR15	LINC01108	0.404123028252937
LHX9	LINC01108	0.594590588964694
AHRR	LINC01108	0.425369166049051
LINC01108	LINC01108	1
ITGAE	LINC01108	0.190667078969705
GPR55	LINC01108	0.361808244575049
PKD1L1	LINC01108	0.192546701810922
GSG2	LINC01108	0.385607620310155
FBP1	LINC01108	0.385496581752496
CYP27A1	LINC01108	0.399048760575
MYO1A	LINC01108	0.363566793014159
EYA4	LINC01108	-0.207943141343771
KRT79	LINC01108	0.339744515682823
CD101	LINC01108	0.387783505680957
SLITRK2	LINC01108	-0.352865170338025
PCDH10	LINC01108	-0.259928216683179
ACOT4	LINC01108	0.285223939181712
STAC	LINC01108	0.236444693166196
CD52	LINC01108	0.300934725159305
VWC2	LINC01108	0.150973795204273
CYP1A1	LINC01108	0.181514657780534
SLC6A12	LINC01108	0.364902061579156
KCND2	LINC01108	0.102615813454155
ACP5	LINC01108	0.385031097632021
DACH2	LINC01108	-0.163911042459045
CCDC88A	LINC01108	0.282367301281314
PNPLA6	LINC01108	0.187083504558565
SYT13	LINC01108	-0.19538116563903
PCDH11X	LINC01108	-0.241390286708408
ALOX5	LINC01108	0.260198438398058
PCAT14	LINC01108	-0.204454891995991
GGA2	LINC01108	0.193694115830631
PARVG	LINC01108	0.253885557939266
M1AP	LINC01108	0.365872848403051
ADTRP	LINC01108	0.338475755257479
PHLDA3	LINC01108	0.20320355913735
CD8B	LINC01108	0.292214648155911
MAN2B1	LINC01108	0.318159039050985
PPARG	LINC01108	0.320770928671854
PNPLA3	LINC01108	0.3976273744302
JAML	LINC01108	0.305265388229343
PKP1	LINC01108	-0.283753938402916
CSTB	LINC01108	0.299204305938588
ATP6V0D2	LINC01108	0.477278657426898
RP11.621L6.3	LINC01108	0.260869579504191
TCEAL2	LINC01108	-0.243279560938281
GPD1	LINC01108	0.336986996776739
GNAZ	LINC01108	-0.214440380339901
CATSPER1	LINC01108	0.218919600604405
KCNA10	LINC01108	0.344055907039235
PLA2G4E	LINC01108	0.450486083039406
AIFM3	LINC01108	0.184930311552106
WDFY4	LINC01108	0.318426697432618
CEACAM21	LINC01108	0.224747818352866
FAM213A	LINC01108	0.229500980457996
DNASE2B	LINC01108	0.389116027747332
NHLH2	LINC01108	0.355470364907534
LINC01637	LINC01108	0.26172715130597
DPP6	LINC01108	-0.264358753659085
GUSB	LINC01108	0.262702176527695
GAPLINC	LINC01108	0.337942470439829
LRRN2	LINC01108	0.150267317121099
LTA4H	LINC01108	0.339313300632869
ADCY2	LINC01108	-0.20903201122584
CD300LF	LINC01108	0.270400994474766
FFAR4	LINC01108	0.35010003200908
FABP3	LINC01108	0.355415868171832
TREM2	LINC01108	0.347543800003594
FIG4	LINC01108	0.220685785406492
BHLHE41	LINC01108	0.282780120281327
CYP1B1	LINC01108	0.127313894967279
RP11.459I19.1	LINC01108	0.385155334987234
EVL	LINC01108	0.179326205348579
MFSD7	LINC01108	0.212022797486104
CD1A	LINC01108	0.320277455803866
TMEM130	LINC01108	0.243118934375678
OR6K3	LINC01108	0.401296625540419
SLCO1B3	LINC01108	0.4031706232133
TMEM257	LINC01108	-0.228867011166101
CEACAM5	LINC01108	0.268059644428919
CYP1A2	LINC01108	0.240715768833217
FKBP15	LINC01108	0.195504219230511
ELF5	LINC01108	0.352230858916757
PRSS41	LINC01108	0.246377558431872
ADAMTSL4	LINC01108	0.13116875756868
LUZP2	LINC01108	-0.196974729347271
RP11.20G13.3	LINC01108	0.284741442660846
LINC00881	LINC01108	0.19888921485226
PYCARD	LINC01108	0.199689534546353
UNC13A	LINC01108	0.158223927805761
AJAP1	LINC01108	-0.249928017464136
DPP7	LINC01108	0.195273521585281
JPH4	LINC01108	0.247821278017841
SPNS1	LINC01108	0.24796633194819
ZMYND15	LINC01108	0.323329264170327
SIDT2	LINC01108	0.192465191220664
DDHD1	LINC01108	0.16820902204837
FABP5	LINC01108	0.30708854761311
CDKN2A	LINC01108	0.249886059161834
RP5.839B4.8	LINC01108	0.294838962674832
IL37	LINC01108	0.374311250288102
PTPN6	LINC01108	0.251987376029771
PARP15	LINC01108	0.335599798114357
PTPRO	LINC01108	0.299856331428446
DCSTAMP	LINC01108	0.349340639737371
LINC00677	LINC01108	0.177765773997774
GCHFR	LINC01108	0.307794027412643
PRAM1	LINC01108	0.2180401141686
SCPEP1	LINC01108	0.351900480572116
COMP	LINC01108	0.203921990468714
LPXN	LINC01108	0.289472722261691
MCOLN1	LINC01108	0.171546341081057
CD37	LINC01108	0.24371338861135
FIRRE	LINC01108	0.194392880278345
